A. S.;Orario;Modalità;Giorno;Data;Verso;IN;OUT;Causale
24/25;Sospensione;Normale;lunedì;02/09/2024;;07:41;14:44;
24/25;Sospensione;Normale;martedì;03/09/2024;;07:34;14:46;
24/25;Sospensione;Normale;mercoledì;04/09/2024;;07:40;15:01;Straordinario
24/25;Sospensione;Normale;giovedì;05/09/2024;;07:39;14:48;
24/25;Sospensione;Normale;venerdì;06/09/2024;;07:32;14:44;
24/25;Sospensione;Normale;lunedì;09/09/2024;;07:40;14:52;
24/25;Sospensione;Normale;martedì;10/09/2024;;07:39;13:02;Permesso per servizio
24/25;Sospensione;Normale;mercoledì;11/09/2024;;07:37;15:46;Straordinario
24/25;Sospensione;Normale;giovedì;12/09/2024;;07:39;14:51;
24/25;Sospensione;Normale;venerdì;13/09/2024;;07:42;14:54;
24/25;Didattica;Normale;lunedì;16/09/2024;;07:43;14:55;
24/25;Didattica;Normale;lunedì;16/09/2024;;15:25;17:10;
24/25;Didattica;Normale;martedì;17/09/2024;;07:39;14:24;
24/25;Didattica;Normale;mercoledì;18/09/2024;;07:37;14:22;
24/25;Didattica;Normale;giovedì;19/09/2024;;07:42;16:19;Straordinario
24/25;Didattica;Normale;venerdì;20/09/2024;;07:40;14:25;
24/25;Didattica;Normale;lunedì;23/09/2024;;07:30;14:42;
24/25;Didattica;Normale;lunedì;23/09/2024;;15:12;17:00;
24/25;Didattica;Normale;martedì;24/09/2024;;07:37;14:22;
24/25;Didattica;Normale;mercoledì;25/09/2024;;07:37;14:22;
24/25;Didattica;Normale;giovedì;26/09/2024;;07:38;14:23;
24/25;Didattica;Normale;venerdì;27/09/2024;;07:40;14:24;
24/25;Didattica;Normale;lunedì;30/09/2024;;07:41;14:30;
24/25;Didattica;Normale;martedì;01/10/2024;;07:39;14:40;
24/25;Didattica;Normale;mercoledì;02/10/2024;;07:39;14:28;
24/25;Didattica;Normale;mercoledì;09/10/2024;;07:37;14:26;
24/25;Didattica;Rientro;venerdì;04/10/2024;;07:41;13:42;Pausa pranzo
24/25;Didattica;Rientro;venerdì;04/10/2024;;14:06;17:07;Pausa pranzo
24/25;Didattica;Rientro;lunedì;07/10/2024;;07:40;14:13;Pausa pranzo
24/25;Didattica;Rientro;lunedì;07/10/2024;;14:33;17:02;Pausa pranzo
24/25;Didattica;Normale;martedì;08/10/2024;;07:37;15:03;
24/25;Didattica;Normale;mercoledì;09/10/2024;;07:38;14:29;
24/25;Didattica;Normale;giovedì;10/10/2024;;07:41;14:30;
